obstacle_type,placement,seed,success,time_to_first_move,fleet_clearance_time,graph_diffs,llm_tokens,collisions,steps_run,wall_time_s,ablation_no_graph,ablation_no_leader,ablation_no_repo
fallen_tree,near,0,1,0,204,0,0,12,205,1.66,0,0,0
fallen_tree,near,1,1,0,204,0,0,12,205,1.52,0,0,0
fallen_tree,near,2,1,0,204,0,0,12,205,1.48,0,0,0
fallen_tree,near,3,1,0,204,0,0,12,205,1.49,0,0,0
fallen_tree,near,4,1,0,204,0,0,12,205,1.51,0,0,0
fallen_tree,near,5,1,0,204,0,0,12,205,1.55,0,0,0
fallen_tree,near,6,1,0,204,0,0,12,205,1.51,0,0,0
fallen_tree,near,7,1,0,204,0,0,12,205,1.58,0,0,0
fallen_tree,near,8,1,0,204,0,0,12,205,1.49,0,0,0
fallen_tree,near,9,1,0,204,0,0,12,205,1.52,0,0,0
fallen_tree,mid,0,1,0,187,0,0,0,188,1.5,0,0,0
fallen_tree,mid,1,1,0,187,0,0,0,188,1.46,0,0,0
fallen_tree,mid,2,1,0,187,0,0,0,188,1.42,0,0,0
fallen_tree,mid,3,1,0,187,0,0,0,188,1.43,0,0,0
fallen_tree,mid,4,1,0,187,0,0,0,188,1.5,0,0,0
fallen_tree,mid,5,1,0,187,0,0,0,188,1.4,0,0,0
fallen_tree,mid,6,1,0,187,0,0,0,188,1.4,0,0,0
fallen_tree,mid,7,1,0,187,0,0,0,188,1.44,0,0,0
fallen_tree,mid,8,1,0,187,0,0,0,188,1.45,0,0,0
fallen_tree,mid,9,1,0,187,0,0,0,188,1.4,0,0,0
fallen_tree,far,0,1,0,271,0,0,0,272,1.85,0,0,0
fallen_tree,far,1,1,0,271,0,0,0,272,1.87,0,0,0
fallen_tree,far,2,1,0,271,0,0,0,272,1.85,0,0,0
fallen_tree,far,3,1,0,271,0,0,0,272,1.8,0,0,0
fallen_tree,far,4,1,0,271,0,0,0,272,1.85,0,0,0
fallen_tree,far,5,1,0,271,0,0,0,272,1.88,0,0,0
fallen_tree,far,6,1,0,271,0,0,0,272,1.92,0,0,0
fallen_tree,far,7,1,0,271,0,0,0,272,1.85,0,0,0
fallen_tree,far,8,1,0,271,0,0,0,272,1.93,0,0,0
fallen_tree,far,9,1,0,271,0,0,0,272,1.88,0,0,0
debris,near,0,1,0,204,0,0,12,205,1.51,0,0,0
debris,near,1,1,0,204,0,0,12,205,1.52,0,0,0
debris,near,2,1,0,204,0,0,12,205,1.52,0,0,0
debris,near,3,1,0,204,0,0,12,205,1.52,0,0,0
debris,near,4,1,0,204,0,0,12,205,1.51,0,0,0
debris,near,5,1,0,204,0,0,12,205,1.54,0,0,0
debris,near,6,1,0,204,0,0,12,205,1.53,0,0,0
debris,near,7,1,0,204,0,0,12,205,1.52,0,0,0
debris,near,8,1,0,204,0,0,12,205,1.55,0,0,0
debris,near,9,1,0,204,0,0,12,205,1.53,0,0,0
debris,mid,0,1,0,187,0,0,0,188,1.42,0,0,0
debris,mid,1,1,0,187,0,0,0,188,1.45,0,0,0
debris,mid,2,1,0,187,0,0,0,188,1.46,0,0,0
debris,mid,3,1,0,187,0,0,0,188,1.4,0,0,0
debris,mid,4,1,0,187,0,0,0,188,1.46,0,0,0
debris,mid,5,1,0,187,0,0,0,188,1.46,0,0,0
debris,mid,6,1,0,187,0,0,0,188,1.43,0,0,0
debris,mid,7,1,0,187,0,0,0,188,1.45,0,0,0
debris,mid,8,1,0,187,0,0,0,188,1.46,0,0,0
debris,mid,9,1,0,187,0,0,0,188,1.44,0,0,0
debris,far,0,1,0,271,0,0,0,272,1.92,0,0,0
debris,far,1,1,0,271,0,0,0,272,1.9,0,0,0
debris,far,2,1,0,271,0,0,0,272,1.89,0,0,0
debris,far,3,1,0,271,0,0,0,272,1.9,0,0,0
debris,far,4,1,0,271,0,0,0,272,1.92,0,0,0
debris,far,5,1,0,271,0,0,0,272,1.9,0,0,0
debris,far,6,1,0,271,0,0,0,272,1.9,0,0,0
debris,far,7,1,0,271,0,0,0,272,1.86,0,0,0
debris,far,8,1,0,271,0,0,0,272,1.93,0,0,0
debris,far,9,1,0,271,0,0,0,272,1.96,0,0,0
road_closure,near,0,1,0,204,0,0,12,205,1.56,0,0,0
road_closure,near,1,1,0,204,0,0,12,205,1.56,0,0,0
road_closure,near,2,1,0,204,0,0,12,205,1.55,0,0,0
road_closure,near,3,1,0,204,0,0,12,205,1.54,0,0,0
road_closure,near,4,1,0,204,0,0,12,205,1.55,0,0,0
road_closure,near,5,1,0,204,0,0,12,205,1.55,0,0,0
road_closure,near,6,1,0,204,0,0,12,205,1.53,0,0,0
road_closure,near,7,1,0,204,0,0,12,205,1.54,0,0,0
road_closure,near,8,1,0,204,0,0,12,205,1.55,0,0,0
road_closure,near,9,1,0,204,0,0,12,205,1.59,0,0,0
road_closure,mid,0,1,0,187,0,0,0,188,1.5,0,0,0
road_closure,mid,1,1,0,187,0,0,0,188,1.49,0,0,0
road_closure,mid,2,1,0,187,0,0,0,188,1.46,0,0,0
road_closure,mid,3,1,0,187,0,0,0,188,1.48,0,0,0
road_closure,mid,4,1,0,187,0,0,0,188,1.41,0,0,0
road_closure,mid,5,1,0,187,0,0,0,188,1.44,0,0,0
road_closure,mid,6,1,0,187,0,0,0,188,1.49,0,0,0
road_closure,mid,7,1,0,187,0,0,0,188,1.42,0,0,0
road_closure,mid,8,1,0,187,0,0,0,188,1.44,0,0,0
road_closure,mid,9,1,0,187,0,0,0,188,1.48,0,0,0
road_closure,far,0,1,0,271,0,0,0,272,1.88,0,0,0
road_closure,far,1,1,0,271,0,0,0,272,1.97,0,0,0
road_closure,far,2,1,0,271,0,0,0,272,2.03,0,0,0
road_closure,far,3,1,0,271,0,0,0,272,1.95,0,0,0
road_closure,far,4,1,0,271,0,0,0,272,2.07,0,0,0
road_closure,far,5,1,0,271,0,0,0,272,2.0,0,0,0
road_closure,far,6,1,0,271,0,0,0,272,2.05,0,0,0
road_closure,far,7,1,0,271,0,0,0,272,2.06,0,0,0
road_closure,far,8,1,0,271,0,0,0,272,2.04,0,0,0
road_closure,far,9,1,0,271,0,0,0,272,2.04,0,0,0
stationary_vehicle,near,0,1,0,204,0,0,12,205,1.65,0,0,0
stationary_vehicle,near,1,1,0,204,0,0,12,205,1.64,0,0,0
stationary_vehicle,near,2,1,0,204,0,0,12,205,1.6,0,0,0
stationary_vehicle,near,3,1,0,204,0,0,12,205,1.58,0,0,0
stationary_vehicle,near,4,1,0,204,0,0,12,205,1.59,0,0,0
stationary_vehicle,near,5,1,0,204,0,0,12,205,1.56,0,0,0
stationary_vehicle,near,6,1,0,204,0,0,12,205,1.6,0,0,0
stationary_vehicle,near,7,1,0,204,0,0,12,205,1.57,0,0,0
stationary_vehicle,near,8,1,0,204,0,0,12,205,1.59,0,0,0
stationary_vehicle,near,9,1,0,204,0,0,12,205,1.61,0,0,0
stationary_vehicle,mid,0,1,0,187,0,0,0,188,1.51,0,0,0
stationary_vehicle,mid,1,1,0,187,0,0,0,188,1.53,0,0,0
stationary_vehicle,mid,2,1,0,187,0,0,0,188,1.53,0,0,0
stationary_vehicle,mid,3,1,0,187,0,0,0,188,1.5,0,0,0
stationary_vehicle,mid,4,1,0,187,0,0,0,188,1.52,0,0,0
stationary_vehicle,mid,5,1,0,187,0,0,0,188,1.56,0,0,0
stationary_vehicle,mid,6,1,0,187,0,0,0,188,1.53,0,0,0
stationary_vehicle,mid,7,1,0,187,0,0,0,188,1.53,0,0,0
stationary_vehicle,mid,8,1,0,187,0,0,0,188,1.5,0,0,0
stationary_vehicle,mid,9,1,0,187,0,0,0,188,1.52,0,0,0
stationary_vehicle,far,0,1,0,271,0,0,0,272,1.97,0,0,0
stationary_vehicle,far,1,1,0,271,0,0,0,272,2.0,0,0,0
stationary_vehicle,far,2,1,0,271,0,0,0,272,1.94,0,0,0
stationary_vehicle,far,3,1,0,271,0,0,0,272,1.94,0,0,0
stationary_vehicle,far,4,1,0,271,0,0,0,272,1.95,0,0,0
stationary_vehicle,far,5,1,0,271,0,0,0,272,1.94,0,0,0
stationary_vehicle,far,6,1,0,271,0,0,0,272,2.0,0,0,0
stationary_vehicle,far,7,1,0,271,0,0,0,272,1.99,0,0,0
stationary_vehicle,far,8,1,0,271,0,0,0,272,2.0,0,0,0
stationary_vehicle,far,9,1,0,271,0,0,0,272,1.98,0,0,0
construction_barrier,near,0,1,0,204,0,0,12,205,1.62,0,0,0
construction_barrier,near,1,1,0,204,0,0,12,205,1.66,0,0,0
construction_barrier,near,2,1,0,204,0,0,12,205,1.67,0,0,0
construction_barrier,near,3,1,0,204,0,0,12,205,1.65,0,0,0
construction_barrier,near,4,1,0,204,0,0,12,205,1.64,0,0,0
construction_barrier,near,5,1,0,204,0,0,12,205,1.61,0,0,0
construction_barrier,near,6,1,0,204,0,0,12,205,1.62,0,0,0
construction_barrier,near,7,1,0,204,0,0,12,205,1.62,0,0,0
construction_barrier,near,8,1,0,204,0,0,12,205,1.62,0,0,0
construction_barrier,near,9,1,0,204,0,0,12,205,1.61,0,0,0
construction_barrier,mid,0,1,0,187,0,0,0,188,1.53,0,0,0
construction_barrier,mid,1,1,0,187,0,0,0,188,1.57,0,0,0
construction_barrier,mid,2,1,0,187,0,0,0,188,1.58,0,0,0
construction_barrier,mid,3,1,0,187,0,0,0,188,1.57,0,0,0
construction_barrier,mid,4,1,0,187,0,0,0,188,1.59,0,0,0
construction_barrier,mid,5,1,0,187,0,0,0,188,1.51,0,0,0
construction_barrier,mid,6,1,0,187,0,0,0,188,1.54,0,0,0
construction_barrier,mid,7,1,0,187,0,0,0,188,1.58,0,0,0
construction_barrier,mid,8,1,0,187,0,0,0,188,1.59,0,0,0
construction_barrier,mid,9,1,0,187,0,0,0,188,1.56,0,0,0
construction_barrier,far,0,1,0,271,0,0,0,272,2.01,0,0,0
construction_barrier,far,1,1,0,271,0,0,0,272,1.99,0,0,0
construction_barrier,far,2,1,0,271,0,0,0,272,2.06,0,0,0
construction_barrier,far,3,1,0,271,0,0,0,272,1.99,0,0,0
construction_barrier,far,4,1,0,271,0,0,0,272,2.02,0,0,0
construction_barrier,far,5,1,0,271,0,0,0,272,2.03,0,0,0
construction_barrier,far,6,1,0,271,0,0,0,272,2.02,0,0,0
construction_barrier,far,7,1,0,271,0,0,0,272,2.02,0,0,0
construction_barrier,far,8,1,0,271,0,0,0,272,2.01,0,0,0
